id,name,category,subCategory,availableQuantity,orderedQuantity,price,maxQuantity,color1,color2,color3,color4,size1,size2,size3,size4,size5,size6,size7
5ff0b509fc13ae631b00000e,Aristocrat 34 Ltrs Blue Laptop Backpack,PhuKien,TuiXach,120,0,473,3,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00000f,Leather Strap Watch,PhuKien,DongHo,136,0,544,1,111189,A6A6A7,464243,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000010,Analog Black Dial Watch,PhuKien,DongHo,181,0,637,1,111190,A6A6A8,464244,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000011,Sports  digital Dial Watch,PhuKien,DongHo,109,0,194,3,111186,A6A6A4,464240,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000012,Date Men's Watch,PhuKien,DongHo,104,0,440,3,111187,A6A6A5,464241,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000013,Men's Navy Genuine Leather RFID Blocking Wallet,PhuKien,Wallets,123,0,556,1,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000014,BP004 Navy Blue Light Weight 31 Ltrs Casual Laptop Backpack,PhuKien,TuiXach,161,0,703,2,19EEBF,19EE1B,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000015,Hike CAMO Rucksack Bag,PhuKien,TuiXach,164,0,427,1,FF5733,C70039,19EED3,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000016,"Mufubu Presents Get Unbarred 55 LTR Rucksack for Trekking, Hiking with Shoe Compartment",PhuKien,TuiXach,125,0,701,3,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000017,Analog Blue Dial Watch,PhuKien,DongHo,131,0,769,3,111189,A6A6A7,464243,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000018,Milestone Laptop Bag for Men,PhuKien,TuiXach,178,0,732,1,19EEBF,19EE1B,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000019,Blue Multi Functional Watch,PhuKien,DongHo,115,0,623,2,19EEBF,19EE1B,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00001a,15.6 Inch Laptop Backpack,PhuKien,TuiXach,166,0,614,1,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00001b,Men's Leather Casual Regular Purse Wallet,PhuKien,Wallets,154,0,270,3,F2F3F4,555555,543D3F,89A39F,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00001c,Branded Metal Body Square,PhuKien,Sunglasses,184,0,197,1,0000CD,FFFFE0,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00001d,Matt Finish Club Master Wayfarer,PhuKien,Sunglasses,138,0,937,1,696969,FF6347,228B22,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00001e,Tony Stark Avengers Infinity War Sunglasseses,PhuKien,Sunglasses,145,0,825,1,0000CD,FFFFE0,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00001f,Polarized Aviator Black Sunglasseses,PhuKien,Sunglasses,131,0,777,3,696969,FF6347,228B22,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000020,32 Ltrs Black Casual Backpack,PhuKien,TuiXach,156,0,715,1,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000021,Brown leather Strap Watch,PhuKien,DongHo,160,0,831,1,-,-,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000022,Gradient Aviator Men's Sunglasseses,PhuKien,Sunglasses,198,0,518,3,696969,FF6347,228B22,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000023,RFID Protected 100% Genuine Leather Wallet,PhuKien,Wallets,101,0,135,3,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000024,Dark Blue Men's Wallet,PhuKien,Wallets,108,0,268,2,F2F3F4,555555,543D3F,89A39F,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000025,UV protected Square Men's Sunglasseses,PhuKien,Sunglasses,145,0,618,3,0000CD,FFFFE0,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000026,Analogue Date Watch,PhuKien,DongHo,186,0,349,2,-,-,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000027,Water Resistant Casual Backpack,PhuKien,TuiXach,181,0,703,1,FF5733,C70039,19EED3,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000028,UV Protection Square Metal Body Unisex Sunglasses,PhuKien,Sunglasses,148,0,388,2,696969,FF6347,228B22,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000029,Stylish RFID Protected Genuine Leather Wallet,PhuKien,Wallets,154,0,185,3,252440,222222,3E322C,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00002a,Blue Dial day and date Watch,PhuKien,DongHo,148,0,344,2,-,-,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00002b,Blue School Bag with Laptop,PhuKien,TuiXach,191,0,136,3,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00002c,UV protected Square Men's Sunglasseses,PhuKien,Sunglasses,166,0,385,3,0000CD,FFFFE0,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00002d,Black Round Sunglasseses For Men,PhuKien,Sunglasses,156,0,570,2,696969,FF6347,228B22,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00002e,Noble Blue 32 Ltrs Casual bagpack,PhuKien,TuiXach,187,0,363,2,FF5733,C70039,19EED3,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00002f,Black Men's Wallet,PhuKien,Wallets,176,0,699,3,F2F3F4,555555,543D3F,89A39F,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000030,Blue Men's Wallet,PhuKien,Wallets,170,0,877,1,252440,222222,3E322C,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000031,15.6 Inch Laptop Backpack,PhuKien,TuiXach,172,0,867,3,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000032,Polestar Hero 32 Casual Backpack,PhuKien,TuiXach,175,0,596,2,0000CD,FFFFE0,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000033,F Gear Luxur Laptop Backpack,PhuKien,TuiXach,134,0,373,1,FF5733,C70039,19EED3,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000034,Men's Genuine Leather Wallet ,PhuKien,Wallets,156,0,188,3,252440,222222,3E322C,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000035,RFID ProtectedLeather Wallet,PhuKien,Wallets,180,0,639,2,F2F3F4,555555,543D3F,89A39F,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000036,Anti-Theft Water Resistant Laptop Backpack,PhuKien,TuiXach,138,0,984,2,111188,A6A6A6,464242,1968EE,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000037,Black Men's Wallet,PhuKien,Wallets,112,0,570,2,F2F3F4,555555,543D3F,89A39F,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000038,Protected Genuine High Quality Leather Wallet,PhuKien,Wallets,154,0,837,1,252440,222222,3E322C,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b000039,Super Fibre Analog Watch,PhuKien,DongHo,133,0,356,3,-,-,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00003a,Tony stark style Sunglasseses Original,PhuKien,Sunglasses,124,0,888,2,0000CD,FFFFE0,-,-,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00003b,Brown Men's Wallet,PhuKien,Wallets,107,0,557,1,F2F3F4,555555,543D3F,89A39F,S,M,L,X,XL,XXL,-
5ff0b509fc13ae631b00003c,Cotton Casual Shirt Full Sleeves,QuanAo,Shirt,184,0,651,2,00FFEF,1F2737,FAFAD2,DCAE96,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b00003d,Cotton Casual Shirt ,QuanAo,Shirt,122,0,676,2,006A4E,D8D994,87CEEB,808000,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b00003e,Slim Fit Jeans,QuanAo,Zeans,149,0,434,3,272458,222222,202830,-,28,30,32,34,36,38,40
5ff0b509fc13ae631b00003f,Cotton Formal Shirt,QuanAo,Shirt,188,0,719,3,00FFEF,1F2737,FAFAD2,DCAE96,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000040,Cotton Waist Coat Style Tshirt,QuanAo,Shirt,102,0,397,3,006A4E,D8D994,87CEEB,808000,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000041,Purple Printed T-Shirt,QuanAo,T-Shirt,165,0,379,1,E9E9ED,F2F3F4,722F37,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000042,Round Neck Navy Cotton Tshirt,QuanAo,T-Shirt,200,0,356,2,882D17,252440,-,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000043,Checkered Formal Shirt,QuanAo,Shirt,141,0,591,2,00FFEF,1F2737,FAFAD2,DCAE96,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000044,Cotton T-Shirt,QuanAo,T-Shirt,192,0,654,1,E9E9ED,F2F3F4,722F37,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000045,Full Sleeve Hooded T-Shirt,QuanAo,T-Shirt,165,0,769,2,882D17,252440,-,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000046,Slim Fit Casual Shirt,QuanAo,Shirt,141,0,616,3,006A4E,D8D994,87CEEB,808000,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000047,Regular Fit Men's T-Shirt,QuanAo,T-Shirt,160,0,794,3,882D17,252440,-,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000048,Regular Fit Denim Jeans,QuanAo,Zeans,148,0,571,2,4C516D,4E8510,-,-,28,30,32,34,36,38,40
5ff0b509fc13ae631b000049,Regular Fit T-Shirt,QuanAo,T-Shirt,115,0,772,1,E9E9ED,F2F3F4,722F37,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b00004a,Black Slim Fit Stretch Jeans,QuanAo,Zeans,130,0,533,3,272458,222222,202830,-,28,30,32,34,36,38,40
5ff0b509fc13ae631b00004b,White Cotton T Shirt,QuanAo,T-Shirt,133,0,588,2,882D17,252440,-,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b00004c,Full Sleeve Cotton Formal Shirt,QuanAo,Shirt,181,0,305,3,006A4E,D8D994,87CEEB,808000,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b00004d,Regular Fit T-Shirt,QuanAo,T-Shirt,158,0,611,3,E9E9ED,F2F3F4,722F37,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b00004e,Slim Fit Jeans ,QuanAo,Zeans,117,0,745,2,4C516D,4E8510,-,-,28,30,32,34,36,38,40
5ff0b509fc13ae631b00004f,Cotton Long Sleeve Top (Vnk),QuanAo,T-Shirt,175,0,601,3,882D17,252440,-,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000050,Cotton T Shirt,QuanAo,T-Shirt,187,0,405,1,E9E9ED,F2F3F4,722F37,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000051,Plain Solid Cotton Causal Shirt,QuanAo,Shirt,104,0,631,3,00FFEF,1F2737,FAFAD2,DCAE96,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000052,Cotton Chinese Collar Plain  Shirt,QuanAo,Shirt,153,0,436,1,006A4E,D8D994,87CEEB,808000,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000053,Basic Cotton Round Neck Half Sleeve Solid T-Shirt,QuanAo,T-Shirt,178,0,545,3,882D17,252440,-,-,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000054,Slim Fit Stretchable Jeans,QuanAo,Zeans,160,0,735,1,272458,222222,202830,-,28,30,32,34,36,38,40
5ff0b509fc13ae631b000055,Cotton Casual White Shirt,QuanAo,Shirt,162,0,420,3,00FFEF,1F2737,FAFAD2,DCAE96,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000056,Cotton Casual Shirt Full Sleeves,QuanAo,Shirt,109,0,373,1,006A4E,D8D994,87CEEB,808000,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000057,Slim Fit Jeans,QuanAo,Zeans,136,0,602,3,4C516D,4E8510,-,-,28,30,32,34,36,38,40
5ff0b509fc13ae631b000058,Cotton Casual Shirt Full Sleeves,QuanAo,Shirt,127,0,448,3,00FFEF,1F2737,FAFAD2,DCAE96,S,M,L,XL,2XL,-,-
5ff0b509fc13ae631b000059,Round Neck Full Sleeve T-Shirt,QuanAo,T-Shirt,113,0,673,3,E9E9ED,F2F3F4,722F37,-,S,M,L,XL,2XL,-,-
